,epochs,train,val,test
0,0.0,0.054395976618089016,0.01421978446803595,0.011806943360414174
1,1.0,0.01823126787591136,0.008977417839349591,0.006023534651299832
2,2.0,0.007741716469074657,0.0031497622048206496,0.002186842423439684
3,3.0,0.003814114452621032,0.0019389436381148568,0.001203538833968795
4,4.0,0.001575327823753772,0.000956888808946801,0.0006829507085787138
5,5.0,0.0008584250139096698,0.0003177312968309921,0.0001879415091727932
6,6.0,0.00036883993648561,0.00016777465272247994,0.0001144973545790033
7,7.0,0.00018575471814369674,0.0001364373619561011,8.841215076606527e-05
8,8.0,0.00010822372395426207,7.321938145614615e-05,5.405479335162564e-05
9,9.0,6.296845896638098e-05,4.7743251801490174e-05,3.3709515261264765e-05
10,10.0,4.9608685799572015e-05,3.49558652935997e-05,2.362788125978834e-05
11,11.0,3.525085599712712e-05,2.424678745818132e-05,1.832395959263557e-05
12,12.0,2.887302094553464e-05,2.0398947953618577e-05,1.522504805745625e-05
13,13.0,2.3985937224143354e-05,1.6992401289845807e-05,1.343027642115091e-05
14,14.0,2.1243680178203338e-05,1.6295911400690485e-05,1.2939223631605803e-05
15,15.0,1.9947552889495658e-05,1.5660189533222774e-05,1.2637312136879069e-05
16,16.0,1.9571890447174433e-05,1.510168840407273e-05,1.2150031465391821e-05
17,17.0,1.9486517011540807e-05,1.5182116935631627e-05,1.230497285876818e-05
18,18.0,1.948843449098009e-05,1.5048199726029256e-05,1.21356027295814e-05
19,19.0,1.9453549216355373e-05,1.5031394698843644e-05,1.216474098425787e-05
20,20.0,1.962038255948889e-05,1.5141515889154142e-05,1.2313563284823037e-05
21,21.0,1.9790538775542052e-05,1.5646891694848482e-05,1.2376830466846932e-05
22,22.0,1.9850585532022917e-05,1.5487485518056473e-05,1.2590617856474867e-05
23,23.0,1.9892253288242717e-05,1.508666841605477e-05,1.2253696339688223e-05
24,24.0,1.972358221077441e-05,1.5445964680578914e-05,1.2346952635114232e-05
25,25.0,1.9500989244776653e-05,1.5639760428693352e-05,1.2540382963231822e-05
26,26.0,1.9560229197731292e-05,1.5001257004825518e-05,1.2179838129241802e-05
27,27.0,1.9563855599111856e-05,1.5012576438032552e-05,1.2191588218617739e-05
28,28.0,1.9551552709164603e-05,1.5727045879710062e-05,1.2563957358864591e-05
29,29.0,1.977974626731267e-05,1.502781162655779e-05,1.221672974655389e-05
30,30.0,1.9534039581595325e-05,1.5263161966023075e-05,1.23995519661749e-05
31,31.0,1.9513555838600232e-05,1.5188039988437435e-05,1.2343170597381047e-05
32,32.0,1.94865985538706e-05,1.5365865762836008e-05,1.2337608651462922e-05
33,33.0,1.978425408655217e-05,1.5074821614359686e-05,1.2268387286067384e-05
34,34.0,1.9711023100003347e-05,1.550069812033247e-05,1.2323581050454578e-05
35,35.0,1.988445989474091e-05,1.5639457446273268e-05,1.2441674187448493e-05
36,36.0,2.0026883948120024e-05,1.5048363246607803e-05,1.2160509692936252e-05
37,37.0,1.965088881089744e-05,1.507692746113697e-05,1.2201804811512651e-05
38,38.0,2.0135771973619408e-05,1.5339239220647777e-05,1.2476986814977908e-05
39,39.0,1.988397446504659e-05,1.5110576344124407e-05,1.2277692048346883e-05
40,40.0,1.9523539791483954e-05,1.5099889078281082e-05,1.2167994127400455e-05
41,41.0,1.9512305777713424e-05,1.548312811688228e-05,1.2599923450886467e-05
42,42.0,1.9846432857610706e-05,1.59087458308034e-05,1.282383229914641e-05
43,43.0,1.9842401426376414e-05,1.5114776983406479e-05,1.2197992724459486e-05
44,44.0,1.9660602842889413e-05,1.570274124312165e-05,1.2536396902102659e-05
45,45.0,1.9908861816891227e-05,1.5227303381041177e-05,1.2425675278355125e-05
46,46.0,2.0066084548960803e-05,1.5906989252285448e-05,1.2661530333164582e-05
47,47.0,1.9968584340985598e-05,1.553128583227236e-05,1.2532289565093767e-05
48,48.0,2.0046747813391598e-05,1.5394847332486587e-05,1.2338484003502634e-05
49,49.0,1.9700213330002807e-05,1.5314836616506306e-05,1.239692858417039e-05
50,50.0,1.9607510324058413e-05,1.5047582182475144e-05,1.2217453361159261e-05
51,51.0,1.9658115704266677e-05,1.5892924943471955e-05,1.2519111068073392e-05
52,52.0,2.0226874471808627e-05,1.6623466352440575e-05,1.3444976028317404e-05
53,53.0,2.0375969477573386e-05,1.5318439417525483e-05,1.249893314910135e-05
54,54.0,2.0248667064572165e-05,1.5670468274979635e-05,1.2526308115278473e-05
55,55.0,2.0414135862587217e-05,1.657106404829537e-05,1.349489643032303e-05
56,56.0,2.1074201197363513e-05,1.531593325233584e-05,1.2245381425161877e-05
57,57.0,2.0322853050873557e-05,1.5151994454300767e-05,1.2221126667449692e-05
58,58.0,1.9600325779477585e-05,1.5231598493860496e-05,1.2227010447463322e-05
59,59.0,2.001885929576088e-05,1.5880757931292032e-05,1.2587565366680889e-05
60,60.0,1.9920587490967555e-05,1.551122547464738e-05,1.2436009454107088e-05
61,61.0,1.997099377570831e-05,1.5159247517366827e-05,1.2356606213413542e-05
62,62.0,1.9800386662886463e-05,1.535773992612884e-05,1.2372282680926779e-05
63,63.0,1.9782829576479242e-05,1.510570070041703e-05,1.2173604621994666e-05
64,64.0,1.9840361438947256e-05,1.5979636730832855e-05,1.3031124402996211e-05
65,65.0,1.9711435585586187e-05,1.5747483903278427e-05,1.2488521305124707e-05
66,66.0,2.007512306521917e-05,1.7429918235439384e-05,1.4075969185841316e-05
67,67.0,2.022947783303286e-05,1.5257576010810165e-05,1.2297260246139137e-05
68,68.0,1.99934586948933e-05,1.514231778674997e-05,1.2275625451201664e-05
69,69.0,2.0343064547848605e-05,1.5641315039255206e-05,1.2603652393814421e-05
70,70.0,1.9936219072074626e-05,1.648784977715591e-05,1.2852710911316028e-05
71,71.0,2.1214324126823756e-05,1.512972112665384e-05,1.2202199292100095e-05
72,72.0,2.0023282044708922e-05,1.6245479623306783e-05,1.3060858699193264e-05
73,73.0,1.9873137463033453e-05,1.6359430008424383e-05,1.3289446841994498e-05
74,74.0,2.0180707591132223e-05,1.5885922356119624e-05,1.2694664517836522e-05
75,75.0,2.0010833660363716e-05,1.7103428684258273e-05,1.3322112089641548e-05
76,76.0,2.0719245879425184e-05,1.5186759206794412e-05,1.2164272672878995e-05
77,77.0,2.1106080635385783e-05,1.6774728185900378e-05,1.3557949965092193e-05
78,78.0,2.074228661655484e-05,1.6422918405561243e-05,1.3333479855064413e-05
79,79.0,2.0235781561727942e-05,1.522619665083685e-05,1.2323839292383363e-05
80,80.0,1.990533694740438e-05,1.5713925744949272e-05,1.2453149708372809e-05
81,81.0,2.0796632013432165e-05,1.6332173362659283e-05,1.2841277352384631e-05
82,82.0,2.0702368182349313e-05,1.6439236415809756e-05,1.28116866269349e-05
83,83.0,2.0580695812258298e-05,1.5180401629550888e-05,1.2251497590706588e-05
84,84.0,2.0358724354236905e-05,1.5432458694266137e-05,1.2412262688933703e-05
85,85.0,2.080558957099792e-05,1.76311875915086e-05,1.3849226745441027e-05
86,86.0,2.0813271567036866e-05,1.524785792703769e-05,1.2311027951544594e-05
87,87.0,2.2277935363122643e-05,1.9858248953692488e-05,1.5345541752518822e-05
88,88.0,2.702359466400867e-05,2.188231962461757e-05,1.631562495998515e-05
89,89.0,2.441654712292302e-05,1.669722973319496e-05,1.302832124875208e-05
90,90.0,2.363346181841865e-05,2.034824005357658e-05,1.5963396790931237e-05
91,91.0,2.9001305678361098e-05,3.507706601016149e-05,2.5685958868432865e-05
92,92.0,3.4394474856476185e-05,2.7699458452220306e-05,2.100908349151191e-05
93,93.0,4.3788459503654874e-05,1.604791386877108e-05,1.263378791757841e-05
94,94.0,2.4652972240101897e-05,2.08064214833164e-05,1.5515908685523893e-05
95,95.0,2.3919886712168154e-05,2.1550318961926385e-05,1.66751753949177e-05
